Diesel Cost:,0.98,per litre,,,,Date Range: 2017-11-06 to 2017-11-06,,,,,,,,,,,,,,,,,,,
Target Consumption:,34.00,l/100km,,MPG,,,,,,,,,,,,,,,,,,,,,
Adblue:,5.00,% of fuel used,,,,,,,,,,,,,,,,,,,,,,,
,0.05,per litre,,,,,,,,,,,,,,,,,,,,,,,
Actual consumption,34,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adblue,,,Cost Per 100 km,,,,,Differences at Average Fuel Consumption,,,,Differences at Best Fuel Consumption,,,,Differences at Target Fuel Consumption,,
,Total Distance (km),Total Fuel Used (l),Average Consumption (l/100km),Average Consumption (MPG),Total Cost of running,,Approximate (l),Approximate Cost,,Current Consumption,At Average Consumption,At Best Consumption,At Target Consumption,,Total Fuel Used Difference  (l),Total Fuel Cost,Fuel Savings,,Total Fuel Used Difference (l),Total Fuel Cost,Fuel Savings,,Total Fuel Used Difference (l),Total Fuel Cost,Fuel Savings
DC66BVV,518.71,102.00,19.66,14.37,£99.96,,5.10,0.26,,£19.27,-£0.81,£19.27,-£14.05,,8.21,£108.01,-£8.05,,-26.51,£73.98,£25.98,,74.36,£172.83,-£72.87
DC66KNR,422.43,82.00,19.41,14.55,£80.36,,4.10,0.21,,£19.02,-£1.06,£19.02,-£14.30,,7.75,£87.96,-£7.60,,-20.52,£60.25,£20.11,,61.62,£140.75,-£60.39
DC66KNZ,258.53,60.50,23.40,12.07,£59.29,,3.03,0.15,,£22.93,£2.85,£22.93,-£10.39,,-5.57,£53.83,£5.46,,-22.88,£36.87,£22.42,,27.40,£86.14,-£26.85
DC66KOA,0.22,0.00,,,,,0.00,0.00,,£0.00,-£20.08,£0.00,-£33.32,,0.05,£0.04,-£0.04,,0.03,£0.03,-£0.03,,0.07,£0.07,-£0.07
DC66KOE,529.97,107.50,20.28,13.93,£105.35,,5.38,0.27,,£19.88,-£0.20,£19.88,-£13.44,,5.10,£110.35,-£5.00,,-30.37,£75.59,£29.76,,72.69,£176.59,-£71.24
DF17PFX,444.70,111.00,24.96,11.32,£108.78,,5.55,0.28,,£24.46,£4.38,£24.46,-£8.86,,-16.51,£92.60,£16.18,,-46.28,£63.42,£45.36,,40.20,£148.17,-£39.39
DF17PFY,479.09,130.00,27.13,10.41,£127.40,,6.50,0.33,,£26.59,£6.51,£26.59,-£6.73,,-28.21,£99.76,£27.64,,-60.28,£68.33,£59.07,,32.89,£159.63,-£32.23
DF17PJY,360.61,97.00,26.90,10.50,£95.06,,4.85,0.24,,£26.36,£6.28,£26.36,-£6.96,,-20.38,£75.09,£19.97,,-44.52,£51.43,£43.63,,25.61,£120.15,-£25.09
DF17PKA,465.46,127.50,27.39,10.31,£124.95,,6.38,0.32,,£26.84,£6.77,£26.84,-£6.48,,-28.60,£96.92,£28.03,,-59.76,£66.39,£58.56,,30.76,£155.09,-£30.14
DF17POU,388.35,81.50,20.99,13.46,£79.87,,4.08,0.20,,£20.57,£0.49,£20.57,-£12.75,,1.01,£80.86,-£0.99,,-24.98,£55.39,£24.48,,50.54,£129.40,-£49.53
DF66VNL,588.11,93.00,15.81,17.86,£91.14,,4.65,0.23,,£15.50,-£4.58,£15.50,-£17.82,,31.96,£122.46,-£31.32,,-7.41,£83.88,£7.26,,106.96,£195.96,-£104.82
DF66VNM,63.48,14.00,22.05,12.81,£13.72,,0.70,0.04,,£21.61,£1.53,£21.61,-£11.71,,-0.51,£13.22,£0.50,,-4.76,£9.05,£4.67,,7.58,£21.15,-£7.43
DG17KAO,166.56,49.00,29.42,9.60,£48.02,,2.45,0.12,,£28.83,£8.75,£28.83,-£4.49,,-13.61,£34.68,£13.34,,-24.76,£23.76,£24.26,,7.63,£55.50,-£7.48
DG17KAU,329.83,91.00,27.59,10.24,£89.18,,4.55,0.23,,£27.04,£6.96,£27.04,-£6.28,,-20.92,£68.68,£20.50,,-43.00,£47.04,£42.14,,21.14,£109.90,-£20.72
DG17KAX,199.68,66.00,33.05,8.55,£64.68,,3.30,0.17,,£32.39,£12.31,£32.39,-£0.93,,-23.57,£41.58,£23.10,,-36.94,£28.48,£36.20,,1.89,£66.53,-£1.85
DG17KPN,665.85,120.00,18.02,15.67,£117.60,,6.00,0.30,,£17.66,-£2.42,£17.66,-£15.66,,21.47,£138.65,-£21.05,,-23.10,£94.97,£22.63,,106.39,£221.86,-£104.26
DG17KPO,577.19,84.00,14.55,19.41,£82.32,,4.20,0.21,,£14.26,-£5.82,£14.26,-£19.06,,38.64,£120.18,-£37.86,,0.00,£82.32,£0.00,,112.24,£192.32,-£110.00
DG17KPP,418.57,62.00,14.81,19.07,£60.76,,3.10,0.16,,£14.52,-£5.56,£14.52,-£18.80,,26.93,£87.15,-£26.39,,-1.08,£59.70,£1.06,,80.31,£139.47,-£78.71
DG17KPR,375.79,57.50,15.30,18.46,£56.35,,2.88,0.14,,£15.00,-£5.08,£15.00,-£18.32,,22.34,£78.25,-£21.90,,-2.81,£53.60,£2.75,,70.27,£125.21,-£68.86
DG17KPT,449.04,66.50,14.81,19.07,£65.17,,3.33,0.17,,£14.51,-£5.57,£14.51,-£18.81,,28.91,£93.50,-£28.33,,-1.15,£64.04,£1.13,,86.17,£149.62,-£84.45
DG17KPU,394.22,59.50,15.09,18.72,£58.31,,2.98,0.15,,£14.79,-£5.29,£14.79,-£18.53,,24.26,£82.09,-£23.78,,-2.13,£56.22,£2.09,,74.53,£131.35,-£73.04
DG17KPV,312.62,50.00,15.99,17.66,£49.00,,2.50,0.13,,£15.67,-£4.40,£15.67,-£17.65,,16.42,£65.09,-£16.09,,-4.50,£44.59,£4.41,,56.29,£104.16,-£55.16
DG17KPX,543.64,101.50,18.67,15.13,£99.47,,5.08,0.25,,£18.30,-£1.78,£18.30,-£15.02,,14.01,£113.20,-£13.73,,-22.38,£77.53,£21.94,,83.34,£181.14,-£81.67
DG17KPY,417.66,81.50,19.51,14.48,£79.87,,4.08,0.20,,£19.12,-£0.96,£19.12,-£14.20,,7.24,£86.97,-£7.10,,-20.72,£59.57,£20.30,,60.50,£139.16,-£59.29
DG17KPZ,480.10,100.00,20.83,13.56,£98.00,,5.00,0.25,,£20.41,£0.33,£20.41,-£12.91,,2.01,£99.97,-£1.97,,-30.13,£68.47,£29.53,,63.23,£159.97,-£61.97
DG17KRD,550.51,106.00,19.26,14.67,£103.88,,5.30,0.27,,£18.87,-£1.21,£18.87,-£14.45,,10.97,£114.63,-£10.75,,-25.88,£78.51,£25.37,,81.17,£183.43,-£79.55
DH66MYW,269.35,56.50,20.98,13.47,£55.37,,2.83,0.14,,£20.56,£0.48,£20.56,-£12.76,,0.73,£56.08,-£0.71,,-17.30,£38.41,£16.96,,35.08,£89.75,-£34.38
EY65FEK,50.40,14.00,27.78,10.17,£13.72,,0.70,0.04,,£27.22,£7.15,£27.22,-£6.10,,-3.29,£10.49,£3.23,,-6.67,£7.19,£6.53,,3.13,£16.79,-£3.07
,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,,21.25,14.06,£78.80,,,,,£20.08,£0.00,£20.08,-£13.24,,3.82,,-£3.74,,-21.81,,£21.38,,52.64,,-£51.59
,Best,,14.55,19.41,£13.72,,,,,£0.00,-£20.08,£0.00,-£33.32,,-28.60,,-£37.86,,-60.28,,-£0.03,,0.07,,-£110.00
,Worst,,33.05,8.55,£127.40,,,,,£32.39,£12.31,£32.39,-£0.93,,38.64,,£28.03,,0.03,,£59.07,,112.24,,-£0.07
,Total,2171.00,,,£2127.58,,108.55,5.43,,,,,,,106.83,£2232.28,-£104.70,,-610.79,£1529.01,£598.57,,1474.00,£3572.10,-£1444.52
